Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402",5.078740,-2.716535,180.000000,bottom
"D1","D","D_SMA",7.007874,-4.291339,90.000000,bottom
"D4","D","D_SMA",6.574803,-4.488189,180.000000,bottom
"R7","4.7K","R_0603",5.236220,-3.622047,90.000000,bottom
"R9","10K","R_0603",6.811024,-4.202756,270.000000,bottom
"R13","470","R_0603",6.811024,-3.582677,90.000000,bottom
"R17","4.7K","R_0603",6.850394,-3.976378,0.000000,bottom
"R20","4.7K","R_0603",6.929134,-2.913386,0.000000,bottom
"R22","4.7K","R_0603",5.748031,-2.952756,180.000000,bottom
"C2","0.1uF","C_0402",5.314961,-4.527559,90.000000,top
"C3","560pF","C_0603",7.677165,-2.362205,90.000000,top
"C4","560pF","C_0603",7.480315,-2.440945,90.000000,top
"C5","22pF","C_0603",5.088583,-2.519685,180.000000,top
"C6","27pF","C_0603",6.535433,-2.677165,270.000000,top
"C7","27pF","C_0603",6.535433,-2.440945,90.000000,top
"C8","0.1uF","C_0402",7.283465,-2.598425,0.000000,top
"D2","D","D_SMA",5.826772,-4.448819,90.000000,top
"D3","D","D_SMA",6.574803,-3.976378,90.000000,top
"IC1","Venus638FLPx","Venus638FLPx",5.551181,-2.598425,90.000000,top
"L1","33nH","L_0603",5.433071,-2.086614,0.000000,top
"R1","33K","R_0603",5.669291,-2.244094,270.000000,top
"R2","10K","R_0603",5.629921,-2.913386,180.000000,top
"R3","4.7K","R_0603",6.889764,-3.307087,180.000000,top
"R4","10K","R_0603",6.220472,-2.362205,270.000000,top
"R5","100","R_0603",7.677165,-2.559055,90.000000,top
"R6","100","R_0603",7.480315,-2.637795,90.000000,top
"R8","470","R_0603",6.299213,-4.330709,270.000000,top
"R10","22K","R_0603",7.362205,-4.015748,270.000000,top
"R11","47K","R_0603",7.362205,-2.824803,90.000000,top
"R12","10K","R_0603",7.283465,-2.401575,0.000000,top
"R14","47K","R_0603",5.826772,-4.212598,90.000000,top
"R15","2.2K","R_0603",6.535433,-2.874016,90.000000,top
"R16","1.8K","R_0603",6.338583,-2.834646,90.000000,top
"R18","10K","R_0603",5.826772,-4.055118,270.000000,top
"R19","10K","R_0603",5.314961,-4.330709,270.000000,top
"R21","10K","R_0603",5.167323,-4.094488,0.000000,top
"R23","22K","R_0603",5.147638,-3.858268,0.000000,top
"R24","2.2K","R_0603",5.984252,-3.631890,270.000000,top
"R25","2.2K","R_0603",5.984252,-3.789370,270.000000,top
"R26","47K","R_0603",5.984252,-3.937008,270.000000,top
"R27","33K","R_0603",5.748031,-3.622047,180.000000,top
"R28","4.7K","R_0603",5.511811,-3.543307,180.000000,top
"R29","510","R_0603",6.377953,-3.730315,90.000000,top
"R30","510","R_0603",6.377953,-3.897638,180.000000,top
