Part,Manufacturer,Quantity,Link
BT1,2998,1,https://www.digikey.com/product-detail/en/keystone-electronics/2998/36-2998-ND/2137887
"C1, C9, C14",CC0603ZRY5V7BB105,3,
"C2, C5, C8",CC0402KRX7R7BB104,3,
"C3, C4",C0603C561K5RACTU,2,
"C6, C7",CC0603JRNPO9BN270,2,
C10, TAJR106M010RNJ ,1,
C11,CL10A106MQ8NNNC,1,
"D1, D2",1N4148W-TP,2,
D3,1N5819,1,
D4,VSKY05401006-G4-08,1,
FB1,74279279,1,
IC1,XM1110_1103886,1,https://www.digikey.com/product-detail/en/sierra-wireless/XM1110_1103886/1645-1092-2-ND/7942044
IC2,ED281DT,1,https://www.digikey.com/product-detail/en/on-shore-technology-inc/ED281DT/ED3050-5-ND/4147600
J1,PPPC202LFBN-RC,1,
J2,PPPC172LFBN-RC,1,
J3,CONSMA002-G,1,
J4,A-DS 09 A/KG-T2S,1,
JP1,61300211121,1,
JP2,61300211121,1,
L1,MHQ1005P33NJT000 ,1,
"Q1, Q4, Q5, Q6, Q7",2N3904,5,
"Q2, Q3",2N3906,2,
R1,RC0603FR-0710KL,1,
"R2, R4",RC0603JR-07470RL,2,
"R3, R7, R17, R20, R22",RC0603FR-074K7L,5,
"R5, R6",RC0603JR-07100RL,2,
"R8, R13",RC0603JR-07470RL,2,
"R9, R12, R18, R19, R21",RC0603FR-0710KL,5,
"R10, R23",RC0603FR-0722KL,2,
"R11, R14, R26",RC0603JR-0747KL,3,
"R15, R24, R25",RC0603JR-072K2L,3,
R16,RC0603FR-071K8L,1,
R27,CRCW060333K0FKEAC,1,
R28,RC0603FR-071KL,1,
"R29, R30",RC0603JR-07510RL,2,
U1,MCP2561-E/P,1,
U2,LM317LZX,1,
U3,LM1085IT-5.0/NOPB,1,
U4,ADuM1201AR,1,
Y1,ECS-040-20-4X-DU ,1,
