Part,Manufacturer,Quantity,Link
BT1,2998,1,https://www.digikey.com/product-detail/en/keystone-electronics/2998/36-2998-ND/2137887
C2 C4 C8 C12,CC0402KRX7R7BB104,4,
C14,UMK105BJ104KV-F,1,
C1 C3 C6,CC0603ZRY5V7BB105,3,
C13,UFW1H2R2MDD1TD,1,
C10 C11,CC0603JRNPO9BN270,2,
C9,TAJR475M010RNJ,1,
C5 C7,C0603C561K5RACTU,2,
D1,VSKY05401006-G4-08,1,
D2 D3,1N4148W-TP,2,
D4,1N5819,1,
FB1,74279279,1,
IC2,ED281DT,1,
IC1,XM1110_1103886,1,https://www.digikey.com/product-detail/en/sierra-wireless/XM1110_1103886/1645-1092-2-ND/7942044
J3,CONREVSMA002-G,1,
J2,PPPC172LFBN-RC,1,
J1,PPPC202LFBN-RC,1,
JP1,61300211121,1,
JP2,61300211121,1,
L1,MHQ1005P33NJT000 ,1,
Q1 Q4 Q5 Q6 Q7,2N3904,5,
Q2 Q3,2N3906,2,
R17,RC0603FR-071K8L,1,
R6 R7,RC0603JR-07100RL,2,
R2 R11 R13 R19 R20 R22,RC0603FR-0710KL,6,
R5,CRCW06031K00FKEA,1,
R16 R25 R26,RC0603JR-072K2L,3,
R10 R24,RC0603FR-0722KL,2,
R30,CRCW060333K0FKEAC,1,
R1 R8 R18 R21 R23,RC0603FR-074K7L,5,
R3 R4 R9 R14,RC0603JR-07470RL,4,
R12 R15 R29,RC0603JR-0747KL,3,
R27 R28,RC0603JR-07510RL,2,
U4,ADuM1201AR,1,
U3,LM317LZX,1,
U2,LP2950-50LPRE3,1,
U1,MCP2561-E/P,1,
Y1,ECS-040-20-4X-DU ,1,
