Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148","D_SOD-123",175.069500,-109.156500,180.000000,bottom
"D2","1N4148","D_SOD-123",146.939000,-115.824000,180.000000,bottom
"Q1","2N3904","SOT-23",151.828500,-113.347500,180.000000,bottom
"Q3","2N3906","SOT-23",145.923000,-112.268000,180.000000,bottom
"Q5","2N3904","SOT-23",144.526000,-108.013500,180.000000,bottom
"Q6","2N3904","SOT-23",160.210500,-110.045500,0.000000,bottom
"R7","4.7K","R_0603",149.860000,-106.807000,90.000000,bottom
"R10","22K","R_0603",142.748000,-116.268500,0.000000,bottom
"R14","47K","R_0603",148.971000,-111.569500,90.000000,bottom
"R18","10K","R_0603",141.541500,-108.775500,90.000000,bottom
"R19","10K","R_0603",142.494000,-112.585500,90.000000,bottom
"R21","10K","R_0603",139.509500,-112.522000,0.000000,bottom
"R23","22K","R_0603",139.065000,-108.966000,0.000000,bottom
"R24","2.2K","R_0603",157.607000,-108.585000,270.000000,bottom
"R29","510","R_0603",166.052500,-110.172500,180.000000,bottom
"R37","2.2K","R_0603_1608Metric",189.433200,-58.775600,90.000000,bottom
"R38","2.2K","R_0603_1608Metric",188.722000,-75.641200,90.000000,bottom
"BT1","6.8mm-Coin-Cell","BatteryHolder_Keystone_2998_1x6.8mm",133.096000,-117.856000,90.000000,top
"C1","47pF","C_0603_1608Metric",143.129000,-53.213000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",133.667500,-104.838500,270.000000,top
"C3","560pF","C_0603",179.768500,-94.932500,180.000000,top
"C4","560pF","C_0603",175.577500,-93.091000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",147.193000,-72.644000,0.000000,top
"C6","27pF","C_0603",150.304500,-91.567000,0.000000,top
"C7","27pF","C_0603",145.542000,-91.567000,180.000000,top
"C8","0.1uF","C_0402",169.989500,-90.741500,0.000000,top
"C9","10nF (16V)","C_0402_1005Metric",174.599600,-63.246000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",188.341000,-113.030000,0.000000,top
"C11","4.7uF 10V","C_0805_2012Metric",187.896500,-115.951000,90.000000,top
"C13","0.1uF 50V","C_0402_1005Metric",169.735500,-111.823500,0.000000,top
"C14","1uF","C_0603",137.287000,-73.660000,180.000000,top
"C15","0.1uF","C_0402_1005Metric",174.498000,-60.960000,0.000000,top
"C16","0.1uF","C_0402_1005Metric",175.260000,-62.026800,0.000000,top
"C17","0.1uF","C_0402_1005Metric",173.939200,-59.029600,90.000000,top
"D3","1N5819","D_SMA",175.069500,-110.299500,0.000000,top
"D4","0.5A/40V/420mV","D_0603_1608Metric",137.160000,-76.200000,0.000000,top
"J8","QWIIC_CONNECTORJS-1MM","qwiic_connector",194.665600,-58.064400,90.000000,top
"J9","QWIIC_CONNECTORJS-1MM","qwiic_connector",194.716400,-66.040000,90.000000,top
"J10","QWIIC_CONNECTORJS-1MM","qwiic_connector",194.564000,-74.269600,90.000000,top
"L1","30Ohm/1.8A","L_0603_1608Metric",139.573000,-52.197000,0.000000,top
"Q2","2N3906","SOT-23",160.337500,-111.696500,180.000000,top
"Q4","2N3904","SOT-23",156.464000,-107.950000,270.000000,top
"Q7","2N3904","SOT-23",177.609500,-89.154000,90.000000,top
"R1","10","R_0805_2012Metric",140.081000,-55.245000,270.000000,top
"R2","470","R_0603",153.289000,-62.611000,90.000000,top
"R3","4.7K","R_0603",167.513000,-106.489500,180.000000,top
"R4","470","R_0603",155.321000,-62.611000,90.000000,top
"R5","100","R_0603",179.641500,-93.091000,180.000000,top
"R6","100","R_0603",175.450500,-94.869000,180.000000,top
"R8","470","R_0603",161.734500,-115.379500,270.000000,top
"R9","10K","R_0603",162.877500,-109.093000,180.000000,top
"R11","47K","R_0603",169.989500,-92.075000,180.000000,top
"R12","10K","R_0603_1608Metric",170.053000,-89.509600,0.000000,top
"R13","470","R_0603",161.798000,-106.553000,90.000000,top
"R15","2.2K","R_0603",160.147000,-104.965500,270.000000,top
"R16","1.8K","R_0603",163.576000,-106.553000,270.000000,top
"R17","4.7K","R_0603",159.766000,-108.966000,180.000000,top
"R20","4.7K","R_0603",156.591000,-105.156000,180.000000,top
"R22","4.7K","R_0603",136.779000,-104.902000,0.000000,top
"R25","2.2K","R_0603",163.500500,-90.487500,0.000000,top
"R26","47K","R_0603",163.512500,-88.392000,180.000000,top
"R27","33K","R_0603",159.829500,-89.344500,270.000000,top
"R28","1K","R_0603",133.731000,-75.184000,0.000000,top
"R30","510","R_0603",170.053000,-87.020400,180.000000,top
"U4","ADuM1201AR","SOIC-8_3.9x4.9mm_P1.27mm",149.352000,-114.046000,270.000000,top
"U5","NEO-M9N","ublox_NEO",139.700000,-64.770000,270.000000,top
"U6","LSM9DS1","LGA-24L_3x3.5mm_P0.43mm",171.500800,-62.331600,270.000000,top
